,attendant,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,lower medial forehead,2.095208590253159,0.25188419849667226,0.210662365111738,1.9010385199869095,3.6371701573806887
1,1.0,left lower lateral forehead,2.1074763244160457,0.2886186688720605,0.23498115170309375,1.9258668302957058,3.748457735339
2,1.0,right lower lateral forehead,2.183253485629887,0.2705169197771244,0.24314946839404158,1.9050119171538764,3.6601400361787206
3,1.0,glabella,2.188499878260601,0.23529156551877461,0.19600443650117935,1.8737769415116252,3.522737482438361
4,1.0,upper nasal dorsum,2.2502203726311176,0.24391505369021904,0.20844241746970552,1.9974974206629286,4.072798400371668
5,1.0,lower nasal dorsum,2.525286599067106,0.12008706659406197,0.08881356359070436,5.589033837013477,31.871937320187374
6,1.0,soft triangle,2.6647832568045473,0.1455455727577249,0.11156412229274215,4.8135364715338085,26.147638884613798
7,1.0,left ala,2.3185276904151015,0.08735118870328497,0.07321076211393258,5.217664097528631,28.961755900481705
8,1.0,right ala,2.376720358575148,0.1297114243114474,0.09714527034310146,5.196419795638897,28.455785034660966
9,1.0,nasal tip,2.4728543818552313,0.06813298813521987,0.06115742474728073,6.610393978887971,47.17176680168148
10,1.0,left lower nasal sidewall,2.5961151816606,0.14900471745302243,0.10928947245080856,4.046441709672069,17.653701410787868
11,1.0,right lower nasal sidewall,2.4141659630378967,0.1515894663112646,0.12048599550632488,5.167342695016877,27.212707279704002
12,1.0,left mid nasal sidewall,2.3863272667848863,0.029891485499673368,0.025177657483043545,5.911015218171825,36.52063845128553
13,1.0,right mid nasal sidewall,2.347112681732661,0.11673242601513208,0.08957464101688499,4.589485211351254,21.612690032389803
14,1.0,philtrum,2.3926974730406436,0.07876048865622153,0.06761490168059267,6.077814960837436,37.64377742650794
15,1.0,left upper lip,2.227726885273779,0.06254354742600231,0.05562458031324269,6.703238617239998,45.57588124267162
16,1.0,right upper lip,2.200405097919129,0.07936564468323407,0.0661767061239998,6.092482640168939,37.89968115129541
17,1.0,left nasolabial fold,2.4614398104951336,0.1320090239685187,0.09863570681741281,3.9955370560903343,17.332166004108743
18,1.0,right nasolabial fold,2.312530338787179,0.15375665643442005,0.1292762452703106,4.62720045628611,22.00681960348723
19,1.0,left temporal,2.5176688591393557,0.17335182238141855,0.13793111689727072,3.242455851855975,12.21875521198269
20,1.0,right temporal,2.3996032205648237,0.08496276771368964,0.06838420011840492,6.43242198742173,41.56776463274606
21,1.0,left malar,2.1209757998298753,0.3034809840322356,0.2797464458464734,1.9588363632178865,3.8677199068052617
22,1.0,right malar,2.1437711120193716,0.2564613762074299,0.22853552692337306,1.9546781866587928,3.867893799585351
23,1.0,left lower cheek,2.7133417021064594,0.23567975687715928,0.2026193684185897,1.9627806100378635,3.8744811106440356
24,1.0,right lower cheek,2.3958338803858035,0.22122629095047167,0.18238290213746666,2.0393438398306873,4.209736243445083
25,1.0,chin,2.339862526085481,0.2305190863148285,0.20489602314685398,2.1605104418076135,4.763399346009273
26,1.0,left marionette fold,2.51922601910633,0.1689176442834387,0.1333331069922099,2.90007569461329,9.139261940882532
27,1.0,right marionette fold,2.231669210109892,0.14171613362831598,0.120421198335093,2.4642740323881287,6.725579564313914
28,3.0,lower medial forehead,2.0791632726495757,0.2923780495606059,0.26245089766581303,2.7318086730347337,7.999974040690531
29,3.0,left lower lateral forehead,2.2224199951525234,0.3077507613908289,0.2825768179042722,2.705194657325563,7.887668968443698
30,3.0,right lower lateral forehead,2.32365164997216,0.28851235243781276,0.2453386106787095,2.744753254538984,8.116051835829678
31,3.0,glabella,2.313596622049183,0.2780034349646073,0.2430342664006877,2.7860777517211335,8.198628264799073
32,3.0,upper nasal dorsum,2.600728748443315,0.18210695750409017,0.14754980220742747,3.5377765173602294,13.977177642137383
33,3.0,lower nasal dorsum,2.3143460746383715,0.2448117048228878,0.2193270421578577,4.936290777222515,24.58155258716302
34,3.0,soft triangle,2.7115077601144035,0.22709391960850242,0.1836211779786059,3.3444384449985747,13.297577700578103
35,3.0,left ala,2.8762363580622616,0.10058164265709713,0.08207829999707113,5.439917831923305,30.6570716982256
36,3.0,right ala,2.6573033463870117,0.08667483251463362,0.06290402876989613,4.799578973956115,24.009218230549436
37,3.0,nasal tip,2.5647642289408803,0.16575521513253808,0.13474544545139713,4.991171992990873,25.306234718860342
38,3.0,left lower nasal sidewall,2.5377787856385225,0.20222526115839953,0.17307464968743963,4.903628391475842,25.392755080005838
39,3.0,right lower nasal sidewall,2.6542115156787944,0.24529571546972842,0.2014788566287296,4.560996440370596,26.35828594393711
40,3.0,left mid nasal sidewall,2.529336455251361,0.19537104863687033,0.16455528674155423,5.46536407836209,30.430493468354573
41,3.0,right mid nasal sidewall,2.311214539466565,0.09866221274056182,0.0870463677827217,6.669415299822309,44.82394210292567
42,3.0,philtrum,2.5974095190969977,0.09428518111904297,0.0732283435521134,5.426335840894557,29.637666383507618
43,3.0,left upper lip,2.5442988604730536,0.09174239003404118,0.07937904647291061,5.221051266573364,28.442013840693768
44,3.0,right upper lip,2.577783078093965,0.19284738876772448,0.17122795401435362,4.658636411196893,26.100503819778616
45,3.0,left nasolabial fold,2.2014406532324706,0.16384010952222935,0.1516125472346918,3.7794508579888917,16.510612739099038
46,3.0,right nasolabial fold,2.462884035493125,0.1789468067013534,0.15704198162284114,4.28453254332434,18.820696376980955
47,3.0,left temporal,2.770831412999498,0.1300885260547734,0.10468409937693748,4.832740338032306,23.955362593345182
48,3.0,right temporal,2.294114276999077,0.18762027638807768,0.18041343189843478,3.595509045048298,15.328123773817854
