,attendant,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,lower medial forehead,2.1883120395393445,0.2590993609009596,0.22706981273200935,1.905870077767777,3.64973707317858
1,1.0,left lower lateral forehead,2.3471338502241266,0.30006876524444287,0.2651512300319357,1.918655368419035,3.7146542066739183
2,1.0,right lower lateral forehead,2.216287586640885,0.26614744357534836,0.23560309037086435,1.897945470069457,3.6279598750301396
3,1.0,glabella,2.0614893546126805,0.26860337699719206,0.24904499946959988,1.8717048872524085,3.5219041243872056
4,1.0,upper nasal dorsum,2.129148511178572,0.2522185844298695,0.22401834565342862,1.9300929204019983,3.7581451773940238
5,1.0,lower nasal dorsum,2.5051062157266983,0.13177687839979316,0.11048707922663248,5.312160796796232,28.911332687574063
6,1.0,soft triangle,2.380849017661498,0.1291107890395222,0.10355075830214218,4.42980505930881,21.01211271723965
7,1.0,left ala,2.5302323586696804,0.11320904182022283,0.08908806833025983,5.706687122840642,33.870155803936534
8,1.0,right ala,2.4511818647439765,0.12797011893725788,0.10675516692234856,4.664737136911895,23.041499497576
9,1.0,nasal tip,2.410707301126996,0.10036134115954197,0.07937163204065478,6.79020781466381,48.79506728005765
10,1.0,left lower nasal sidewall,2.4153085646804984,0.12623206237357196,0.09845059792431438,4.155659481381536,18.848521203676402
11,1.0,right lower nasal sidewall,2.2159511457002963,0.15430013814105717,0.13916962491762447,4.829088476948113,23.64991293969663
12,1.0,left mid nasal sidewall,2.949050782360564,0.04685947063755211,0.03009151441532702,5.148298553816002,27.466479015385584
13,1.0,right mid nasal sidewall,2.2404205337403282,0.0994933475447909,0.09270927917485479,4.288922104788444,18.950397558386587
14,1.0,philtrum,2.6293073728017387,0.07872555094572946,0.06256114330384464,6.01384782035402,36.806856053298795
15,1.0,left upper lip,2.375356467084469,0.07372970515517191,0.06699393334904097,6.605945357388738,44.81652051231365
16,1.0,right upper lip,2.5032493127804294,0.07445732498550654,0.05982210110614703,6.105183701784276,38.466811882584636
17,1.0,left nasolabial fold,2.2944043703479924,0.13354580204856414,0.11703389715761921,4.441450335031939,21.83505323123922
18,1.0,right nasolabial fold,2.2699258359486545,0.1428059928026937,0.12854332093960757,4.633052291270242,22.24386582039348
19,1.0,left temporal,2.3702601005970076,0.1539056013904873,0.1306639171308263,3.177426392664099,11.687141794663335
20,1.0,right temporal,2.1714115493412542,0.07572420459238453,0.07114537916969459,5.803423491783071,33.98417523156575
21,1.0,left malar,2.3742220887648413,0.28080187494057945,0.21133500610387337,1.9465818272992292,3.8208788713783615
22,1.0,right malar,2.1968284015699218,0.24023032901571173,0.21179928491410796,1.979038590764154,4.00024036308407
23,1.0,left lower cheek,2.407975650428696,0.09568845638027547,0.08251844048810333,5.9884356448113865,36.26047970603961
24,1.0,right lower cheek,2.267959080548035,0.1989860402183645,0.16677641177563163,4.256165010516804,19.172678970726178
25,1.0,chin,2.498631161708508,0.2163839150964292,0.16647327654475177,2.085509676785304,4.432379840033833
26,1.0,left marionette fold,2.4123250932737315,0.18849050975305773,0.14837923455090132,2.7436330896153027,8.315327727650732
27,1.0,right marionette fold,2.358530021680766,0.1442246479232833,0.12176907725877023,3.485013256756122,14.223657238288531
28,3.0,lower medial forehead,1.7207271453699404,0.296794786695393,0.2919593155515429,2.7500414652917335,8.097909426007947
29,3.0,left lower lateral forehead,1.844113233168769,0.3030817049368566,0.29553832526839435,2.696942179792923,7.8461882199836
30,3.0,right lower lateral forehead,1.9903352595332995,0.3028127689293004,0.28155081119261266,2.7307585579050873,7.99279364906222
31,3.0,glabella,1.800889158454533,0.2818586350724682,0.27743017019025595,2.7483170721614485,8.022585025883084
32,3.0,upper nasal dorsum,2.5272784351940882,0.18643805288609436,0.14765115917524652,3.3250582869249103,12.483531962324745
33,3.0,lower nasal dorsum,2.2779176765913896,0.2897070306215464,0.26569152309132443,4.131936464272695,18.710288780205037
34,3.0,soft triangle,2.446305019595406,0.2190849562588786,0.18513186687735064,3.516400442720138,14.919947948669375
35,3.0,left ala,2.721528668332332,0.09531615645380374,0.07381876452690506,4.684558077804537,23.1254039233992
36,3.0,right ala,2.449832232581578,0.09007253288327824,0.07892132272478528,4.7786569930473055,24.360371061789028
37,3.0,nasal tip,2.263858952620076,0.19804875415918977,0.1699069170780055,3.186957568720285,11.54933027569391
38,3.0,left lower nasal sidewall,2.2467252866163916,0.20165848077696927,0.183817956156441,4.199778613649679,18.580396734535928
39,3.0,right lower nasal sidewall,2.405440988962718,0.2625067367516904,0.2217014931185933,3.780211669103598,16.390396539555542
40,3.0,left mid nasal sidewall,2.3294557432200023,0.21236757850920926,0.17916716853518547,4.4206912613307905,20.624197165025254
41,3.0,right mid nasal sidewall,2.0449770709322745,0.11750181475234873,0.10834632872110696,6.384683787584341,41.66563852387507
42,3.0,philtrum,2.62419507784965,0.17456622536296124,0.15271121141876742,4.020399094250629,18.515447547566474
43,3.0,left upper lip,2.474439058245754,0.14689282680524215,0.12935343340417282,4.764385920508532,23.413478236592415
44,3.0,right upper lip,2.4040695188777295,0.19879515658033425,0.1796954691539707,4.373077379504837,21.825210768154683
45,3.0,left nasolabial fold,2.3701545397173205,0.16953670484779768,0.14628795920225374,3.969307930224126,17.404827842484103
46,3.0,right nasolabial fold,2.215345671003015,0.19833707621828828,0.18237147510156593,4.413813943543522,20.18658538043268
47,3.0,left temporal,2.3025384807948757,0.09071621126998967,0.08431159412597893,4.966049073808356,24.99356992739967
48,3.0,right temporal,2.369525896383128,0.20114177336424577,0.169763297563386,3.629023944154036,15.288169218092808
