,attendant,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,lower medial forehead,2.3659106725140524,0.24323398176644884,0.21006824694024195,1.9618897078647992,3.8627307487607485
1,1.0,left lower lateral forehead,2.404438526446654,0.30385677800062716,0.2628919420432307,1.9256625330277524,3.7315957471954704
2,1.0,right lower lateral forehead,2.5094919857413522,0.2703878416084025,0.20789348209421343,1.9379959346042555,3.777682991519241
3,1.0,glabella,2.2059397489184733,0.28108204810799414,0.2591951807591794,1.9039955601969154,3.6463136684684714
4,1.0,upper nasal dorsum,2.266350022494407,0.282042997437079,0.24847616419374197,1.9967177164617695,4.029847644698378
5,1.0,lower nasal dorsum,2.5783982644025314,0.13231688198411562,0.09703900592915492,5.189203473997758,27.938448240970967
6,1.0,soft triangle,2.4428027414830757,0.12479116169878986,0.10032308484329634,4.6299079407259915,23.070575802692616
7,1.0,left ala,2.3972531242038584,0.12452662694512678,0.10832907010827043,5.602845650677033,32.21398073228873
8,1.0,right ala,2.412982880772873,0.1405634196358597,0.11618923808217645,4.672526519501743,23.329693228056488
9,1.0,nasal tip,2.4839949967335517,0.07164957809761222,0.05655186756056337,6.370214741910025,43.24494663425554
10,1.0,left lower nasal sidewall,2.2593022149572666,0.18843251099531708,0.16360539967774598,4.24555869163789,19.48448410654183
11,1.0,right lower nasal sidewall,2.575977549062498,0.21945887436516578,0.16953752537242087,4.867190877871068,23.91140123729015
12,1.0,left mid nasal sidewall,2.402601345392053,0.04433863982913216,0.03682178754442524,5.108727935588016,27.320131267720857
13,1.0,right mid nasal sidewall,2.574426457654329,0.11775965086004135,0.09350880439730656,4.179036046540721,17.95970485178985
14,1.0,philtrum,2.8105429990778608,0.12787572551373996,0.11389410526154413,5.69369080715451,33.023680607168
15,1.0,left upper lip,2.681968467214059,0.06933472586924622,0.05752649257969744,6.340680496354739,41.09314579290487
16,1.0,right upper lip,2.782475936178553,0.10598131725487953,0.087657248539943,5.75431081548766,34.2793703373714
17,1.0,left nasolabial fold,2.522606893153212,0.17933058390301224,0.14194316040109198,4.597895419277484,22.79656424901124
18,1.0,right nasolabial fold,2.525291364728152,0.1245719423093496,0.10905842164246893,4.753568156827557,23.56667101206027
19,1.0,left temporal,2.371159158712899,0.11816054791482374,0.09949431572186541,3.1864111118441465,11.842614984215025
20,1.0,right temporal,2.4085780736913933,0.11215174810455901,0.09492193072147054,5.579210234698987,31.643448135952287
21,1.0,left malar,2.2048425135911325,0.3089087869283375,0.27951921545138886,1.957002800741335,3.8672810463782183
22,1.0,right malar,2.4405625474490504,0.26775618130586654,0.22133304716499771,2.5240091386342547,7.980143409984161
23,1.0,left lower cheek,2.5105291646686063,0.181386680173972,0.15476557153850942,4.813110770167008,24.943040719499947
24,1.0,right lower cheek,2.506375357069139,0.1557596962761375,0.1211292679014978,3.0656232237727585,9.873793087715404
25,1.0,chin,2.2266859713316145,0.24219653426665896,0.2155669521686693,2.125784735817758,4.599891624902255
26,1.0,left marionette fold,2.3442343985089895,0.18418744868015965,0.15526020545512087,2.933352568035455,9.716088129952444
27,1.0,right marionette fold,2.5999374556176145,0.1418523931443334,0.11308054128968138,3.484226919022668,13.987505651658013
28,3.0,lower medial forehead,2.3645461188188137,0.2708717814923807,0.2419501867254596,2.7748563119777145,8.183279147277002
29,3.0,left lower lateral forehead,2.406991680768566,0.29694948589604697,0.2669452073431272,2.7499795763773878,8.06923411129984
30,3.0,right lower lateral forehead,2.5259999949027607,0.27215500477737803,0.2425308777923833,2.7228012134248942,7.922997038005396
31,3.0,glabella,2.3163417941894453,0.2736798593406443,0.24641693046011848,2.7854516702082406,8.164577310702049
