,attendant,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,lower medial forehead,2.1848091500360565,0.25876346352480434,0.22684828492420017,1.905870077767777,3.64973707317858
1,1.0,left lower lateral forehead,2.349972333799544,0.2995591526462971,0.2644638992503539,1.918655368419035,3.7146542066739183
2,1.0,right lower lateral forehead,2.227684441524308,0.2659277284947961,0.23409405753440962,1.897945470069457,3.6279598750301396
3,1.0,glabella,2.062403267943598,0.26767907818921355,0.24813334793840444,1.8717048872524085,3.5219041243872056
4,1.0,upper nasal dorsum,2.128938444496397,0.25238770708761155,0.2241962475609122,1.9265291892058114,3.741808372126284
5,1.0,lower nasal dorsum,2.4991693980010297,0.1313270385753822,0.11027689460809774,5.312160796796232,28.911332687574063
6,1.0,soft triangle,2.3796518725971594,0.12916056755183694,0.10386705357603443,4.42980505930881,21.01211271723965
7,1.0,left ala,2.527939915615104,0.11323479641621968,0.08929018633148063,5.7032005437676085,33.83001326899994
8,1.0,right ala,2.454213228534496,0.12741280550717873,0.1061135168015545,4.724889752623356,23.69911909608133
9,1.0,nasal tip,2.4104335725741812,0.10014217913493445,0.0791783691255456,6.873606247219929,49.684449561699296
10,1.0,left lower nasal sidewall,2.4174945395572034,0.126292074408605,0.09848107937006112,4.153936987167811,18.850897851822214
11,1.0,right lower nasal sidewall,2.212016709984848,0.15412066355812212,0.13922937769528662,4.827323978093324,23.633578020678197
12,1.0,left mid nasal sidewall,2.951286863411383,0.04666608806486334,0.02997213396272483,5.139064125657012,27.366676568370774
13,1.0,right mid nasal sidewall,2.241092078657102,0.0995692681962468,0.0926753454303938,4.28434376104386,18.917732750347877
14,1.0,philtrum,2.6315261085312103,0.07821612681015103,0.06185907405137028,6.01384782035402,36.806856053298795
15,1.0,left upper lip,2.3766639970252954,0.07320980215938323,0.06639456543474753,6.531313336773619,43.82174423697405
16,1.0,right upper lip,2.509000637735866,0.07391406824398113,0.059052350592054124,6.107292698398203,38.497139289658776
17,1.0,left nasolabial fold,2.2944906965644396,0.13383002211192654,0.11720149261522343,4.441450335031939,21.83505323123922
18,1.0,right nasolabial fold,2.2751520609465743,0.14279671556932896,0.12837870934025997,4.633188531822445,22.245213243140498
19,1.0,left temporal,2.360882051374711,0.1545719206198687,0.13159692703508727,3.054121954949073,11.180287447486009
20,1.0,right temporal,2.176080102440902,0.07635128653810126,0.07139614883859347,5.608111962096374,32.02691448007777
21,1.0,left malar,2.3779426040762277,0.28064366639233645,0.2110848708258003,1.9465818272992292,3.8208788713783615
22,1.0,right malar,2.195166637132062,0.24041342821868952,0.21206316219221977,1.979038590764154,4.00024036308407
23,1.0,left lower cheek,2.405934027515783,0.09535750313245046,0.08230562622407393,5.99133399303696,36.297413725015005
24,1.0,right lower cheek,2.26640603017115,0.19929293654046423,0.16735041545301602,4.256165010516804,19.172678970726178
25,1.0,chin,2.4992137622245876,0.21641407963837697,0.16641946294707335,2.0811367214883667,4.416047290674776
26,1.0,left marionette fold,2.4160020163466998,0.18841363658834243,0.14805361441785278,2.6128048101969354,7.532070820771612
27,1.0,right marionette fold,2.362383598790725,0.14412915057774042,0.12150869714082106,3.4825267746548794,14.207321207143837
28,3.0,lower medial forehead,1.7214309170511055,0.29667777458733324,0.2918475872633346,2.7500414652917335,8.097909426007947
29,3.0,left lower lateral forehead,1.8432527357762374,0.30311783925389235,0.29548301058400334,2.696942179792923,7.8461882199836
30,3.0,right lower lateral forehead,1.9907553565637355,0.3026312040803774,0.28147778250010075,2.72834141189677,7.985131306372087
31,3.0,glabella,1.8042259849149762,0.2819415862975028,0.2774717554672849,2.7483170721614485,8.022585025883084
32,3.0,upper nasal dorsum,2.5285444718992265,0.18601110070504287,0.1473714152270158,3.3250582869249103,12.483531962324745
33,3.0,lower nasal dorsum,2.2808582214962105,0.2896389681900558,0.2653539138532641,4.129941396362634,18.698018277400244
34,3.0,soft triangle,2.4567707605716413,0.21795627186033276,0.18398821950897998,3.5518599173997565,14.968942301035847
35,3.0,left ala,2.7192799174418694,0.0953543074006185,0.07415560348587445,4.683391085826479,23.111478725326567
36,3.0,right ala,2.4573926584081605,0.09006449395106243,0.07887749545028562,4.740075991075498,24.053613100438504
37,3.0,nasal tip,2.2627444498050147,0.19776834955749736,0.16993470674562344,3.186957568720285,11.54933027569391
38,3.0,left lower nasal sidewall,2.2466238496146493,0.2016260517795979,0.183573009221534,4.243613709542069,19.005323991315244
39,3.0,right lower nasal sidewall,2.407378031755528,0.26233369864460704,0.22115960908124652,3.7830828972082147,16.41675527510771
40,3.0,left mid nasal sidewall,2.3283173337162704,0.21232044066282155,0.1792023793200253,4.4206912613307905,20.624197165025254
41,3.0,right mid nasal sidewall,2.0451409426312956,0.11781543024812671,0.10859347471088207,6.385827107567152,41.679563721947694
42,3.0,philtrum,2.645786581581715,0.1752964321981017,0.15269752246135243,4.02032767625463,18.518205209452212
43,3.0,left upper lip,2.4769459409701975,0.1462890650107677,0.1286249175055665,4.763223431278631,23.401280751548676
44,3.0,right upper lip,2.413484863220039,0.19854625760241815,0.17899194010083377,4.312737819760188,21.941406194454913
45,3.0,left nasolabial fold,2.37619597422523,0.16858016957924057,0.14510485391341635,4.003521965741351,17.79473130218034
46,3.0,right nasolabial fold,2.2510534395604114,0.1964582972648105,0.178747151174472,4.411824645981098,20.172532904322992
47,3.0,left temporal,2.3009898173644348,0.09040641278291514,0.0840555591413268,4.9645171037158145,24.97964472932704
48,3.0,right temporal,2.37819833370875,0.20068079850330917,0.16891277108805852,3.691721687727429,16.036083302542046
