Unnamed: 0,attendant,lux,ROI,DTW,PCC,CCC,RMSE,MAE,MAPE
0,4.0,10.0,lower medial forehead,2.809199068994173,0.2268624154671921,0.14819994457739535,4.461792845560558,21.422902835792712,0.29875277454287613
1,4.0,10.0,left lower lateral forehead,2.906638994495523,0.21159295581164883,0.15130479969472674,7.341043123602925,44.32660690666728,0.6143582565904794
2,4.0,10.0,right lower lateral forehead,2.86240151694672,0.12413347353583691,0.08353997078401333,8.459616347678272,56.08910336664717,0.7789826907795915
3,4.0,10.0,glabella,2.869430674238989,0.27758630132488676,0.20562044207226637,2.7989250125895215,7.093287405497308,0.0982004376767361
4,4.0,10.0,upper nasal dorsum,2.6708219693794284,0.2688922975638293,0.20855784288178322,3.558881648827549,12.781130583091183,0.17695993446279432
5,4.0,10.0,lower nasal dorsum,2.848627539697097,0.23533731902137123,0.17283802241129964,6.516991147061765,38.49944046724125,0.5346325937463707
6,4.0,10.0,soft triangle,2.7039241833994985,0.263535052932891,0.1968712076532003,4.1253691382654365,18.431059721719656,0.2544486398510014
7,4.0,10.0,left ala,2.778883316676452,0.09482917444698817,0.07647664242184113,7.152092278576028,44.56382508607076,0.6134998447613214
8,4.0,10.0,right ala,2.692575361618299,0.14212715258114592,0.11122156798853701,7.253647564055043,45.73440865821567,0.631283800670697
9,4.0,10.0,nasal tip,2.666201156496557,0.11031876030935193,0.0863568768846928,5.023443959908192,22.26151337693594,0.30956003651163533
10,4.0,10.0,left lower nasal sidewall,2.9741872641168343,0.10188930391846727,0.079749672644289,9.908247285483151,75.66803113538602,1.054517805355075
11,4.0,10.0,right lower nasal sidewall,2.7416707543561643,0.17293032479190387,0.13509587334390977,9.130486252751929,69.69028142630388,0.9742218001921192
12,4.0,10.0,left mid nasal sidewall,2.7837367794303103,0.20546826022339612,0.14050252638482827,6.303992594655717,32.316004190379594,0.4497761854724995
13,4.0,10.0,right mid nasal sidewall,2.912275451922767,0.19028452344113012,0.1539374416929251,9.83448340650384,74.07788319220116,1.0265057465527538
14,4.0,10.0,philtrum,2.770775810715193,0.13843572270238436,0.10708478677892107,7.200647385430305,42.2357987332281,0.5880621445542403
15,4.0,10.0,left upper lip,3.217678547729206,0.1698277829467261,0.09880929579207696,8.291028718414303,57.622849241417406,0.8021662028038401
16,4.0,10.0,right upper lip,2.9416276628088993,0.18935828199070248,0.14630036518843917,6.515964960459118,34.85295274946761,0.4848483157255541
17,4.0,10.0,left nasolabial fold,2.8634665826784436,0.12746724458599967,0.09103010623173313,8.007573540913942,49.76710046118004,0.6927132510420152
18,4.0,10.0,right nasolabial fold,2.914419855116215,0.16363577650417632,0.12783152423013258,8.966641240164071,65.33741697549137,0.9060674754578742
19,4.0,10.0,left temporal,2.800383893982604,0.15659808962246505,0.11730606434021777,9.483200799458817,71.87599702895072,0.9994544906581476
20,4.0,10.0,right temporal,2.6052286025698472,0.11381116020022886,0.09529773991607633,9.226669368864453,65.63472963279082,0.9144084471832136
21,4.0,10.0,left malar,2.730113347240769,0.3134019303406604,0.23824822580975316,2.7954030734434006,7.148763529066488,0.09870807532602345
22,4.0,10.0,right malar,2.634633953947554,0.24498133834498156,0.20262487046096825,2.274778390151338,4.11250101876844,0.05691336814586973
23,4.0,10.0,left lower cheek,2.6549198102987366,0.21981705657776043,0.17386740346945972,3.508635810491756,12.62343555329876,0.17645651046619318
24,4.0,10.0,right lower cheek,2.7663255881596522,0.27665931793626114,0.2067324538354829,3.7983573819953613,12.621934541870713,0.17350557831487637
25,4.0,10.0,chin,2.68973510327529,0.14063722952274618,0.10674355943509643,5.4142576575935735,28.178894600531056,0.39043335292053544
26,4.0,10.0,left marionette fold,2.658447412738321,0.17644211070529647,0.13213602609385705,7.696061762637034,48.809447787583316,0.6775543567729039
27,4.0,10.0,right marionette fold,2.6826041069570543,0.08786141675167747,0.07027967693331363,9.788277392932953,73.98970542222311,1.0335332811505489
28,4.0,15.8,lower medial forehead,3.4901443376853223,0.16132514859244795,0.10889061766550133,4.637517951683624,24.40612487398589,0.32449458305384177
29,4.0,15.8,left lower lateral forehead,3.6463943657547926,0.1516822634211645,0.0971292548354123,6.183640604584937,33.42728319951802,0.44362562213094825
30,4.0,15.8,right lower lateral forehead,3.5568869623882846,0.2127933393702368,0.14578990889026536,5.182617587626558,27.5376122967417,0.3681785504756551
31,4.0,15.8,glabella,3.408807381492123,0.35242393948912026,0.26854255135576194,1.8682463161308018,3.0812730279362963,0.04096838958023897
32,4.0,15.8,upper nasal dorsum,3.3118773679484836,0.2673562666968993,0.19813822040248663,2.7729407677671714,8.071978882998906,0.10864271319507833
33,4.0,15.8,lower nasal dorsum,3.6353686528295945,0.20497552625854396,0.13639924592588212,5.03062180833541,23.237279006698163,0.31157123514447227
34,4.0,15.8,soft triangle,3.8125143827805865,0.2923207199089833,0.185271058687563,2.67359656576576,8.006745287881696,0.10670280461130481
35,4.0,15.8,left ala,3.498624815918616,0.19290465200415838,0.13297041084170855,4.515438373092262,20.946671515471667,0.28117896104143986
36,4.0,15.8,right ala,3.688718622285077,0.20665333391956234,0.1320049069729424,5.24534591475188,23.921723657348068,0.31968426176543135
37,4.0,15.8,nasal tip,3.2557573758051777,0.23787746294209708,0.18473634104520556,4.724485250990862,22.891062933596434,0.3007541787896632
38,4.0,15.8,left lower nasal sidewall,3.751606717371614,0.16732855046071737,0.1184345585867147,6.714247398778269,36.87476420501984,0.4926922734058184
