,attendant,lux,ROI,DTW,PCC,CCC,RMSE,MAE,MAPE
0,4.0,10.0,lower medial forehead,2.308443696427402,0.2028249997395477,0.11962457689383654,2.3435144179703316,6.262689375043465,0.08753343548436641
1,4.0,10.0,left lower lateral forehead,2.051820368810686,0.19896274826524318,0.15185537363528848,4.718229651331629,25.1163493212777,0.3480445802282754
2,4.0,10.0,right lower lateral forehead,2.0843108484807478,0.12834260504012426,0.08378167169599304,6.068979978829297,39.069936916737255,0.5427578465385153
3,4.0,10.0,glabella,2.2817355789445406,0.2648845647324097,0.18324600763049329,1.6437104293842921,2.9019465116107477,0.040150210670795
4,4.0,10.0,upper nasal dorsum,2.327962922846463,0.22654765613399275,0.1415739643303871,1.9983022385619902,4.5679776753525525,0.063294083122585
5,4.0,10.0,lower nasal dorsum,2.058738996048816,0.17819132736550605,0.13140988719990784,4.0116692160559495,18.586246684573748,0.2577540152499063
6,4.0,10.0,soft triangle,1.9850115563359978,0.23008525772233343,0.17449935049981194,3.1130789021869556,11.387638638536252,0.15773089177140465
7,4.0,10.0,left ala,1.9295364945419162,0.08029880907964931,0.06768901281196212,6.091178705064844,40.73911422141851,0.5608423705399134
8,4.0,10.0,right ala,2.1390277224169703,0.1422542101712039,0.10116872664596821,5.500705312504594,31.35934450444418,0.43458739667451374
9,4.0,10.0,nasal tip,2.1590300040255,0.10819931000578065,0.07731830245008288,3.3382999252427656,13.53245186216464,0.1878948007807695
10,4.0,10.0,left lower nasal sidewall,2.239420935101791,0.08094725821204302,0.05739175762209564,6.93869173294722,48.290197326147336,0.6726837668261308
11,4.0,10.0,right lower nasal sidewall,2.0124996321996544,0.13505644954884535,0.09823059871091964,6.97005803453262,54.63697841789722,0.7635009498100929
12,4.0,10.0,left mid nasal sidewall,2.214647475210768,0.11340473837871073,0.07193182728146329,4.515516866194532,21.64368078313005,0.30133761599680636
13,4.0,10.0,right mid nasal sidewall,2.2044905936084294,0.18147221078539746,0.1383003872962593,7.571010068060015,58.248016909636895,0.8077886408126064
14,4.0,10.0,philtrum,2.0873838313362345,0.14080929904291847,0.10237598099623868,5.242142602725564,29.981579145597035,0.4171904014035486
15,4.0,10.0,left upper lip,2.293848954416718,0.11846493775994256,0.077614111733198,6.614212428982945,48.10728741294803,0.670348638191765
16,4.0,10.0,right upper lip,2.5530756640879333,0.2182336735138055,0.14530243919766211,4.265660943856884,20.384563469800558,0.2820840784224908
17,4.0,10.0,left nasolabial fold,1.9915469960650842,0.13679065470684987,0.1046560228067699,6.131812101125505,37.6783891784217,0.5243441730660884
18,4.0,10.0,right nasolabial fold,2.1941813362794815,0.16517719666988448,0.133699086567597,6.41683197266881,43.07843239711085,0.5955933314871773
19,4.0,10.0,left temporal,2.1679238801639875,0.11915000481421933,0.08793724748617382,6.904579866012632,50.51769724254054,0.702362407608248
20,4.0,10.0,right temporal,2.03651957867702,0.05825599485763813,0.04636834687619574,7.566084422813609,57.57488142892863,0.8030146459598613
21,4.0,10.0,left malar,2.2750081279143664,0.2525705578757112,0.1716670265085165,1.7240314524653677,3.13677032895256,0.043514173310608396
22,4.0,10.0,right malar,1.9576749693149214,0.23234220087116844,0.19432748184711426,1.7049562754596963,3.0572262627659654,0.042317612353034696
23,4.0,10.0,left lower cheek,2.2067724500652868,0.23048585633488772,0.16873510448157225,1.6669917998623696,2.965409515369164,0.041123273313570664
24,4.0,10.0,right lower cheek,2.171756686276451,0.2109741942646922,0.15347064558463086,2.226225302450414,5.0784074919704905,0.07062623163908638
25,4.0,10.0,chin,2.161625799866736,0.1315034789247103,0.09196561744009825,3.6327277179772963,15.904133180022678,0.22178282553828002
26,4.0,10.0,left marionette fold,2.121927333016399,0.11378560310698871,0.07159999578610689,5.938082863442926,38.18455817939705,0.5295403317262598
27,4.0,10.0,right marionette fold,2.1196214108971416,0.10898362748892677,0.07984392592190423,7.601600489624648,58.827553817862764,0.823195291685245
28,4.0,15.8,lower medial forehead,2.8722370764553986,0.13851503585856492,0.09125032204869027,3.3274420848525885,17.689435619254954,0.23513097817207562
29,4.0,15.8,left lower lateral forehead,2.7862681334052932,0.13593973737125276,0.09036258043616491,4.815367627809979,26.57329595485651,0.35166661731038396
30,4.0,15.8,right lower lateral forehead,2.6860691139936113,0.16462324730206082,0.11597399681585557,4.231054438532157,24.776402466582486,0.3312959089194084
31,4.0,15.8,glabella,2.637534056735442,0.2684464532412854,0.20152736511303895,1.2570969235919356,1.7055370631917512,0.02253508278847512
32,4.0,15.8,upper nasal dorsum,2.855539166442562,0.20886147433919985,0.14238161300589036,1.926484547254332,4.857559661093122,0.06522961808256066
33,4.0,15.8,lower nasal dorsum,3.0200043930450593,0.1465157199798797,0.08549267725801306,3.5494076452173293,15.76835692501633,0.20933751808156406
34,4.0,15.8,soft triangle,3.147480881117413,0.2536477403331578,0.14360601959382213,1.321130653615524,1.8189272196797515,0.024137058807355505
35,4.0,15.8,left ala,2.6507114181633358,0.16907511299679925,0.12765748153148435,3.0544953014767557,13.7095978034319,0.18405056775120496
36,4.0,15.8,right ala,2.640900309021338,0.17476955920665183,0.12903091640557968,3.8666583120783318,16.338419821205022,0.21776390744538385
37,4.0,15.8,nasal tip,2.566752086421197,0.15202819643969676,0.1165743649321528,2.8977359660049498,11.309880504572938,0.14735697048026078
38,4.0,15.8,left lower nasal sidewall,2.980175199695132,0.11896380893613401,0.0744497123964466,4.729538881669248,24.80485297983302,0.3315394883549803
39,4.0,15.8,right lower nasal sidewall,2.512629292988643,0.18654757430366833,0.14235106032977277,5.497911661010657,32.19503791807344,0.4333512384321982
40,4.0,15.8,left mid nasal sidewall,2.6564942764002613,0.1616204119084259,0.1088849427418197,3.7528273142965713,17.70448903211693,0.23608680152839093
41,4.0,15.8,right mid nasal sidewall,2.743668869772535,0.17153487456042826,0.1123463532371926,4.633766789414731,24.91145710779252,0.3307253685538086
42,4.0,15.8,philtrum,2.6985513008757054,0.18612868696481322,0.1257059067516899,4.609017491957347,22.556505418795865,0.30069215134433186
43,4.0,15.8,left upper lip,2.816775869972552,0.1742007015477317,0.11131313797483526,5.815959581370336,35.4590122269949,0.475866598681854
44,4.0,15.8,right upper lip,3.2053839978728322,0.13436867609199685,0.07325098702190441,5.299613501290184,30.849749600556276,0.41234213088866906
45,4.0,15.8,left nasolabial fold,2.7036438723555243,0.10773766330463848,0.0723883588314903,5.492876111139694,33.561692280397885,0.45101988067860854
46,4.0,15.8,right nasolabial fold,2.5531146559204596,0.12844431106245127,0.08897448383132738,5.529371322832716,34.50796714920288,0.4659813148636596
47,4.0,15.8,left temporal,2.461732324799542,0.10505597098463816,0.074516480826406,3.7056856642607463,16.6463101496738,0.22162945936939604
