,attendant,lux,ROI,DTW,PCC,CCC,RMSE,MAE,MAPE
0,4.0,10.0,lower medial forehead,2.0107603789594974,0.17213727417484911,0.1139873990802634,2.326922237578359,6.061605639353195,0.08457986260180078
1,4.0,10.0,left lower lateral forehead,2.311406187503668,0.141462148812491,0.09401060334173579,5.087345894647525,27.993822951027166,0.38678153294262935
2,4.0,10.0,right lower lateral forehead,2.1348826749712217,0.07876768182008863,0.06023937733259601,6.43177524910821,43.3145898929744,0.6003487471588388
3,4.0,10.0,glabella,2.0093570385193527,0.20415885437659098,0.16704579622291646,1.7768291069408857,3.701841561659766,0.05098384127483882
4,4.0,10.0,upper nasal dorsum,1.7941011275704064,0.1914332686629987,0.16813729554622472,2.0409490787024804,4.63232204382778,0.0636338192941691
5,4.0,10.0,lower nasal dorsum,2.1445715662788056,0.16214766673288103,0.11567728720114594,3.898648638996852,17.635641593717867,0.24363409791723248
6,4.0,10.0,soft triangle,1.9642825089596239,0.18113748380856087,0.13835044724902812,1.7552436703964671,3.2956928000699643,0.04548864211516002
7,4.0,10.0,left ala,2.06238304414588,0.07583602997868213,0.06301015832860163,4.443277311371458,23.189230588366488,0.31875207771742436
8,4.0,10.0,right ala,2.0263879964800684,0.10141824758900386,0.08322699073240349,5.110087035882997,31.88584039874732,0.44075222857539753
9,4.0,10.0,nasal tip,1.9678752274146927,0.052969150811715625,0.04488697383326712,3.288111378227511,12.273328821875166,0.16918233574997588
10,4.0,10.0,left lower nasal sidewall,2.329705577783087,0.07615631198652162,0.0635776354641296,8.15008640693271,66.97696690037297,0.9320850743293215
11,4.0,10.0,right lower nasal sidewall,2.144022537934616,0.1056168345626549,0.08992759702612439,6.395953631858114,44.83361089377795,0.6292559888773243
12,4.0,10.0,left mid nasal sidewall,2.0074182509267975,0.18057934192687194,0.12705130223696004,4.096010396520968,18.099974818791534,0.251945171432087
13,4.0,10.0,right mid nasal sidewall,2.137802347209421,0.12197061266089221,0.10162309042606545,7.384506558597327,55.45169014072234,0.768326802866801
14,4.0,10.0,philtrum,2.0411212716906717,0.07809679070845009,0.06515677168123449,4.88963398815003,25.465660109712058,0.3546621782804312
15,4.0,10.0,left upper lip,2.572437989849854,0.11411304679332236,0.05865154361156552,5.649136555621001,36.96415182706604,0.5131634650677475
16,4.0,10.0,right upper lip,2.183018552025167,0.09186671580892362,0.07341498354937473,5.195342669985338,29.73943837458396,0.41405778178030017
17,4.0,10.0,left nasolabial fold,2.205905148192939,0.07289672846832404,0.05136046453955711,5.627149346646669,33.32983155824302,0.463685710483891
18,4.0,10.0,right nasolabial fold,2.2719632950566617,0.09659375377772449,0.07309860764647337,7.2664714493984555,57.896952253718176,0.8038106442825182
19,4.0,10.0,left temporal,2.164183805559425,0.10260830832846213,0.07007078901832783,7.33640877613296,55.77488125867049,0.7744170382860901
20,4.0,10.0,right temporal,1.8200159395405875,0.092890277406808,0.08039058034126562,6.37089099503676,41.831903056698806,0.5835674447986198
21,4.0,10.0,left malar,1.9285003261788258,0.23376170573594632,0.1890243892909256,1.719755843627085,3.1530520321330697,0.04367286431574483
22,4.0,10.0,right malar,1.944717291920919,0.17706977130174698,0.14760666627936583,1.6738108603218063,2.985026744708217,0.041278639880756064
23,4.0,10.0,left lower cheek,1.882255355925868,0.13998095058726986,0.1204267152652808,2.0591438688395165,4.884843040707978,0.06844099535957578
24,4.0,10.0,right lower cheek,2.0806780273716625,0.189517631819504,0.13725973343602907,2.8170019779213664,9.397460163816305,0.12846937648926746
25,4.0,10.0,chin,1.8108887389192156,0.09609257996440825,0.08185975359388765,4.232294484335161,24.09446790669087,0.3312235235963783
26,4.0,10.0,left marionette fold,1.981723662838944,0.1286270325959066,0.10066284273987396,5.973255192324323,38.39309499021209,0.5315870773146553
27,4.0,10.0,right marionette fold,1.9604548490528597,0.028933810136413256,0.022336521180314737,7.114093243961946,51.75614276382958,0.7208356009817138
28,4.0,15.8,lower medial forehead,2.5935001847716275,0.13697387046546172,0.09237835541308219,3.254451033180141,17.28862985153718,0.22939475163718995
29,4.0,15.8,left lower lateral forehead,2.6510291788607083,0.11874321632481415,0.07631039798891036,3.9076736106995242,17.52308611544552,0.232497494723478
30,4.0,15.8,right lower lateral forehead,2.8008941766047166,0.1710982643359692,0.11696291769472351,3.2355221269322736,15.236772914938848,0.20358821810394845
31,4.0,15.8,glabella,2.5503849494223463,0.2960432559502923,0.22596057127109323,1.2272501481948515,1.6256009705830572,0.021486613441233576
32,4.0,15.8,upper nasal dorsum,2.2564583674101546,0.22166718971144836,0.17431012874986887,1.3939651156227268,2.0254173108981015,0.026981147754830404
33,4.0,15.8,lower nasal dorsum,2.5784342924844514,0.1750744180715534,0.1179620809319107,2.9979734405269824,11.366669085936563,0.15189221242573783
34,4.0,15.8,soft triangle,2.905574828852682,0.22868313857485334,0.14643240469758045,1.2776578637983087,1.7327575748208834,0.022931064769966935
35,4.0,15.8,left ala,2.6588550645154942,0.14942283355645145,0.09678032691639595,2.788572839106829,11.161040441376748,0.14975272478360516
36,4.0,15.8,right ala,2.861932669565697,0.16108208172001495,0.09469136362561721,3.3872017932885714,12.954890184503205,0.17405875408442817
37,4.0,15.8,nasal tip,2.294256031204203,0.21948013307265016,0.17831325214418473,2.705297406160051,10.304172399458816,0.1337293063842901
38,4.0,15.8,left lower nasal sidewall,2.619666294288755,0.12940880630415652,0.09646306238033037,4.943186516091422,26.58072377013735,0.35428240077235534
