,attendant,lux,ROI,DTW,PCC,CCC,RMSE,MAE,MAPE
0,4.0,10.0,lower medial forehead,2.016090164388868,0.1724357519344609,0.11374131529068797,2.3294223211033045,6.0723030093383805,0.08472830227248251
1,4.0,10.0,left lower lateral forehead,2.2957958813594206,0.14292660393549306,0.0955880644314772,5.14470911768039,28.90464597734051,0.39935006287970065
2,4.0,10.0,right lower lateral forehead,2.1259118389371157,0.0805403799367418,0.061100187405526425,6.3700352210426745,42.63130013130125,0.5904865007544803
3,4.0,10.0,glabella,2.0144893551649554,0.2043090323733515,0.16699775851030316,1.7768291069408857,3.701841561659766,0.05098384127483882
4,4.0,10.0,upper nasal dorsum,1.795239640716149,0.19213440267263993,0.16862594887202254,1.602074943398527,2.8058751581576242,0.03881470879242422
5,4.0,10.0,lower nasal dorsum,2.1365924168448633,0.16371765347402364,0.11704202526596273,3.898648638996852,17.635641593717867,0.24363409791723248
6,4.0,10.0,soft triangle,1.9714657128532658,0.18141877556286556,0.13811493093491511,1.7567309245193872,3.299642364386712,0.045545275141976184
7,4.0,10.0,left ala,2.0596860504421355,0.07626334077800347,0.06244012439697514,4.426905353222893,23.067772052374266,0.31704154314461225
8,4.0,10.0,right ala,2.0329647995831173,0.10106189207274226,0.08287612680484176,5.1093828285123974,31.885050796572013,0.4407400208719842
9,4.0,10.0,nasal tip,1.9691193660106467,0.0526353624827649,0.04461788244947477,3.470143335122129,13.115216919297914,0.18087456427655244
10,4.0,10.0,left lower nasal sidewall,2.323976215858394,0.07488695676897236,0.062521112901318,8.149082996622619,66.9607013535414,0.931859150467758
11,4.0,10.0,right lower nasal sidewall,2.146204011681259,0.1062834097895047,0.09027643002401492,6.368543815344235,44.457426556411235,0.6240454385431092
12,4.0,10.0,left mid nasal sidewall,2.015564986589325,0.18121856300749514,0.12707533549475733,4.096210465357265,18.10020388543488,0.25193898237870954
13,4.0,10.0,right mid nasal sidewall,2.1259909171817015,0.12180292250396763,0.10164776561436206,7.138365957920976,52.07287466533473,0.720592284444897
14,4.0,10.0,philtrum,2.042243515358108,0.07847756504822903,0.06555841724842673,4.884934330703846,25.433130373139658,0.35421398999408976
15,4.0,10.0,left upper lip,2.566909661962339,0.11372615904637061,0.05839665237283048,5.644866663029405,36.93950298786717,0.5128144718042364
16,4.0,10.0,right upper lip,2.1678538685283484,0.09291929512487827,0.07482910000739344,5.195545432818034,29.742073301974177,0.41409139865309913
17,4.0,10.0,left nasolabial fold,2.2058164969618557,0.0732493679523084,0.051619681012292244,5.627149346646669,33.32983155824302,0.463685710483891
18,4.0,10.0,right nasolabial fold,2.2685039438754893,0.09675261021184811,0.07319382180578728,7.267260408422565,57.913217800549745,0.8040439463831058
19,4.0,10.0,left temporal,2.158439296955575,0.10454715357903344,0.07175426888191745,7.365070682381961,56.40494810954751,0.7835851887007445
20,4.0,10.0,right temporal,1.7902660334611868,0.08850875088983062,0.07220502367549636,6.345722289577677,41.457718396818315,0.5781594866656418
21,4.0,10.0,left malar,1.9276786695311945,0.23402194874876722,0.18950466725258142,1.719755843627085,3.1530520321330697,0.04367286431574483
22,4.0,10.0,right malar,1.947254290308594,0.17761758008060846,0.14797653121959423,1.6792726005107073,3.0017496574026743,0.04151212271425004
23,4.0,10.0,left lower cheek,1.8862039088784404,0.1407155004678142,0.12109635664348495,2.0591438688395165,4.884843040707978,0.06844099535957578
24,4.0,10.0,right lower cheek,2.076001593488412,0.19057036222484913,0.13816527586706373,2.8170019779213664,9.397460163816305,0.12846937648926746
25,4.0,10.0,chin,1.8120517985328337,0.09585084203777955,0.0816828302251219,4.232294484335161,24.09446790669087,0.3312235235963783
26,4.0,10.0,left marionette fold,1.9797004847079116,0.12791660018138937,0.10043021319703353,5.974576339215328,38.40936053704366,0.5318194664145034
27,4.0,10.0,right marionette fold,1.9605922453069435,0.029554259014275542,0.022868864591858343,7.18684547284272,52.84387362115648,0.736120119392118
28,4.0,15.8,lower medial forehead,2.5986630209024084,0.13757372573513763,0.09248129182320404,3.093574047220903,15.137412384873867,0.20092908402027113
29,4.0,15.8,left lower lateral forehead,2.639528592143565,0.11901397193618185,0.07666939387961112,3.9058734440543383,17.50288033650419,0.2322282806184536
30,4.0,15.8,right lower lateral forehead,2.8112969617618613,0.17130533520714966,0.11715631100794259,3.242787773371569,15.269304280020146,0.20402760660695066
31,4.0,15.8,glabella,2.5505784212884444,0.29629087332049664,0.22580621158416933,1.2272501481948515,1.6256009705830572,0.021486613441233576
32,4.0,15.8,upper nasal dorsum,2.2581804110954145,0.22133819460175563,0.17377081348793344,1.3927969726917688,2.025549220118502,0.02696459346744233
33,4.0,15.8,lower nasal dorsum,2.586952442145759,0.17482964506891663,0.11738687823039622,2.9962575872192,11.356019166729936,0.1517449489989718
34,4.0,15.8,soft triangle,2.912775553341353,0.22812995773866884,0.14568074911564108,1.2829991938960719,1.749025292997648,0.023145054844859264
35,4.0,15.8,left ala,2.654142053312455,0.14897103569526962,0.09657951310146835,2.784588823022068,11.161084630769132,0.14975023794309406
36,4.0,15.8,right ala,2.8621961720831366,0.1615451139350117,0.09483436740978068,3.3867879691385383,12.955917091484883,0.1740667623927673
37,4.0,15.8,nasal tip,2.3049111322068043,0.21898947708598362,0.1771945822169779,2.7081807697083797,10.318453243722937,0.13392278655457326
38,4.0,15.8,left lower nasal sidewall,2.63918884201353,0.1288920130501479,0.09544770931039065,4.944532545410154,26.596992302568555,0.3545050322731889
