,attendant,motion,ROI,DTW,PCC,CCC,RMSE,MAE
0,angelo,resting,lower medial forehead,1.976366470852831,0.3159785296162582,0.26703678618544935,1.777266019993158,3.3511109649014394
1,angelo,resting,left lower lateral forehead,1.9547252359156195,0.27225566004252466,0.23064452968465793,1.6992182599261194,3.120387629150481
2,angelo,resting,right lower lateral forehead,2.1054321283653663,0.3466939222532065,0.284146501289875,1.7180654888850264,3.203106848505739
3,angelo,resting,glabella,1.969735772788837,0.2949423025640915,0.23729842820189412,1.7252590463244533,3.20724955276945
4,angelo,resting,upper nasal dorsum,2.11121426315214,0.23938993768660355,0.20372831589257018,1.7891381345135677,3.3945346451355514
5,angelo,resting,lower nasal dorsum,2.10165066374505,0.24703829721457288,0.20226101709643654,1.756350935070984,3.2870492059578607
6,angelo,resting,soft triangle,1.944229978221191,0.3150605150903939,0.2702073078330442,1.7453048546280507,3.2690758045835286
7,angelo,resting,left ala,2.3664251383151114,0.1971785840165354,0.14032956975670235,2.1448811193251034,4.742859728054154
8,angelo,resting,right ala,2.2352168084660975,0.2810129488546195,0.21220914121989704,1.7809465067753771,3.403944637317288
9,angelo,resting,nasal tip,1.973183247578301,0.23882767959387782,0.20820110762905492,1.737266995496644,3.25564873312785
10,angelo,resting,left lower nasal sidewall,2.3147172903069637,0.12403514896857418,0.09677031974584002,6.9580448693763675,51.94375539767834
11,angelo,resting,right lower nasal sidewall,2.1375016649346468,0.23218947335894713,0.1849785141827789,1.7573672419636943,3.330799254202508
12,angelo,resting,left mid nasal sidewall,2.3620101123361716,0.16643300102461736,0.13005284253718666,5.427984702069629,35.80857480963063
13,angelo,resting,right mid nasal sidewall,2.019698198195919,0.2441702780425961,0.20111296848874463,1.7935010088676913,3.4365735674253286
14,angelo,resting,philtrum,2.1875793694217878,0.1744967514592184,0.1328368553221758,2.8077492553970806,10.71055595249655
15,angelo,resting,left upper lip,2.413440600392016,0.17813057670988577,0.1422256091009852,3.6292340756642747,15.273984555108248
16,angelo,resting,right upper lip,2.093450875780736,0.18593581049221067,0.1436113627255328,1.777004821765329,3.3471608911812614
17,angelo,resting,left nasolabial fold,2.222113018782487,0.17271631456397682,0.13570964290738433,2.570140036893753,6.959857079684133
18,angelo,resting,right nasolabial fold,2.0582192904512935,0.29961338938454957,0.2536769198730963,2.1159313174729695,5.197118425339167
19,angelo,resting,left temporal,2.4964325780470498,0.13537244655270844,0.10038284346974458,3.722098240286979,15.12590977145897
20,angelo,resting,right temporal,2.059176687051551,0.24773514120867027,0.19905519950773792,1.932673166640626,4.109088352582193
21,angelo,resting,left malar,1.9853708898260116,0.28014842862318196,0.23519979740809935,1.7419927844761285,3.2540660390699396
22,angelo,resting,right malar,1.8756015255300755,0.31681626968026044,0.2773232089843767,1.7576912861966236,3.3039355704943842
23,angelo,resting,left lower cheek,2.049283837817685,0.22677441487202327,0.194144439522604,1.885553367593193,3.789571434577111
24,angelo,resting,right lower cheek,1.9061557484679532,0.3043036966745473,0.26629355925705367,1.6977596144820366,3.102260310278185
25,angelo,resting,chin,1.9317957786806408,0.30028820955983815,0.26367025952908246,1.730166674229313,3.197404502799315
26,angelo,resting,left marionette fold,2.046188225287554,0.2125574532411567,0.1691389210970063,2.259504441305877,5.726404191308617
27,angelo,resting,right marionette fold,1.9432162606560703,0.242435844782207,0.19171524647096136,1.7569455408939703,3.3610057896097136
28,angelo,gym,lower medial forehead,2.302320102360833,0.1329552431632764,0.11459822094692405,5.0721788985912255,27.520038112144334
29,angelo,gym,left lower lateral forehead,2.303326118480354,0.11796358111502014,0.10219665234985259,5.717992358370473,34.27334954053409
30,angelo,gym,right lower lateral forehead,2.196143067020161,0.1275436266973374,0.10989064305826139,5.6953225005578325,33.94256479044278
31,angelo,gym,glabella,2.2994476222411895,0.17229644675601127,0.13773133084590725,4.725122711882562,23.86960411374185
32,angelo,gym,upper nasal dorsum,2.257160157748181,0.1203799963657992,0.10178381156704881,5.403510583256754,30.669291761976808
33,angelo,gym,lower nasal dorsum,2.2460019905086748,0.10753507881160092,0.0910241991033269,6.141267805307861,38.67776630783152
34,angelo,gym,soft triangle,2.300802391135699,0.08936858356830403,0.07231708226052665,5.769719117404701,35.043784726582885
35,angelo,gym,left ala,2.269676581628075,0.1246375479534628,0.10547825554957035,5.52716168588711,32.4405455752154
36,angelo,gym,right ala,2.318172039747261,0.11735367880138478,0.09746583130621664,6.089628288585364,38.168191080756046
37,angelo,gym,nasal tip,2.2427721137017835,0.10751702484060253,0.09225196299547958,5.757597247738679,34.528031420341186
38,angelo,gym,left lower nasal sidewall,2.2596638158848323,0.11850419299574215,0.09883793008985292,6.0815301147150045,37.990281710539435
39,angelo,gym,right lower nasal sidewall,2.312959167690726,0.09394253651758298,0.07887073926867512,6.081705828216092,37.822455290306465
40,angelo,gym,left mid nasal sidewall,2.318766093573829,0.09140813798305839,0.07349313030741332,6.243780811953142,39.89237463196378
41,angelo,gym,right mid nasal sidewall,2.23908645750088,0.10667538265161684,0.0900402410364982,6.295237911798659,40.37796018006644
42,angelo,gym,philtrum,2.254408495363982,0.11439333525345517,0.09710890459266817,5.885573617932438,35.7117239219463
43,angelo,gym,left upper lip,2.33360766313039,0.097630693193268,0.07943742578226555,6.035652220934886,37.672659271733565
44,angelo,gym,right upper lip,2.2680415179205555,0.11137307811496186,0.09490724141722444,5.921793349604198,36.331456913489866
45,angelo,gym,left nasolabial fold,2.275568110184833,0.11401301236286009,0.09127578651387656,6.168133633134078,39.24389479815225
