,attendant,motion,ROI,DTW,PCC,CCC,RMSE,MAE
0,angelo,resting,lower medial forehead,1.9789954654609958,0.3157508768826708,0.2667475601465504,1.777266019993158,3.3511109649014394
1,angelo,resting,left lower lateral forehead,1.9551251042739484,0.27144859152260165,0.22980442062147396,1.6964338654274589,3.108881947332299
2,angelo,resting,right lower lateral forehead,2.107231210587979,0.34664727888761854,0.2840649872518763,1.7211482302352332,3.2132169678451104
3,angelo,resting,glabella,1.9698971339515838,0.2948351324216599,0.23733920156947771,1.725005207851087,3.206569307504154
4,angelo,resting,upper nasal dorsum,2.111947517281137,0.23962461595830842,0.20399223302613673,1.781980512289754,3.371515671921266
5,angelo,resting,lower nasal dorsum,2.1028328136957897,0.2471788344235983,0.20198250830007852,1.7527220557267775,3.275535914561757
6,angelo,resting,soft triangle,1.9510747825877057,0.3147811022156111,0.2695918341037607,1.7453048546280507,3.2690758045835286
7,angelo,resting,left ala,2.3690411107420095,0.197922451205425,0.14052286243688042,2.1203423385474474,4.629712913930777
8,angelo,resting,right ala,2.2386477464007144,0.2806033096856226,0.21164771430463764,1.7768509161066157,3.3809180545250803
9,angelo,resting,nasal tip,1.9757085496541615,0.23977557532199306,0.20889174080340084,1.7341016489638894,3.245727576754695
10,angelo,resting,left lower nasal sidewall,2.3159416627803417,0.12359821883961083,0.09619027548432238,6.9573244537136185,51.93640454540561
11,angelo,resting,right lower nasal sidewall,2.1369954747584705,0.23199121503484813,0.18484738691229857,1.7573672419636943,3.330799254202508
12,angelo,resting,left mid nasal sidewall,2.357499109284143,0.16610735070370217,0.12970868468623156,5.311903602368213,34.659516095058926
13,angelo,resting,right mid nasal sidewall,2.0205491176098525,0.24403001588856887,0.20091340551117629,1.7955438004082542,3.443029896135165
14,angelo,resting,philtrum,2.1867381147837888,0.1743903661137984,0.13277809503436813,2.8035440559045135,10.699042661100448
15,angelo,resting,left upper lip,2.4052612114557967,0.17828502614342498,0.14241941102604264,3.6302660690849655,15.28549023692643
16,angelo,resting,right upper lip,2.094239061370562,0.18570662996034643,0.14332202793111506,1.774989940745412,3.340836647666425
17,angelo,resting,left nasolabial fold,2.2179225065601544,0.17368877264623356,0.13673999362791533,2.570140036893753,6.959857079684133
18,angelo,resting,right nasolabial fold,2.058729500780801,0.29981528525335116,0.25377465065802374,2.1127256590359176,5.185612743520985
19,angelo,resting,left temporal,2.492183526611265,0.1360502709015606,0.10068544510683279,3.7299290468280755,15.15898369909726
20,angelo,resting,right temporal,2.0507893109420374,0.24988605183212778,0.20065900311273246,1.889362973878767,3.855970962160115
21,angelo,resting,left malar,1.9836071667596127,0.28025084656439875,0.2355263775418351,1.7419927844761285,3.2540660390699396
22,angelo,resting,right malar,1.875933338151811,0.3168229524216538,0.2773038733194974,1.7576912861966236,3.3039355704943842
23,angelo,resting,left lower cheek,2.056565974231706,0.22639453671673282,0.19371138185732445,1.8885983663826633,3.7993362427805435
24,angelo,resting,right lower cheek,1.9069445532656975,0.30431988749699895,0.26626969745460294,1.6977596144820366,3.102260310278185
25,angelo,resting,chin,1.9314156118421606,0.30059897314942285,0.2638751289157534,1.730166674229313,3.197404502799315
26,angelo,resting,left marionette fold,2.047999649073779,0.2132632162803838,0.1697098716844855,2.259384935704951,5.725582356893033
27,angelo,resting,right marionette fold,1.9455753921564394,0.24233282131510364,0.19155233020089787,1.7540377416631643,3.350238236849974
28,angelo,gym,lower medial forehead,2.300780442686317,0.13319835330922583,0.11481415399371402,5.073445300563371,27.604456873494627
29,angelo,gym,left lower lateral forehead,2.3033308936303203,0.11856160072386349,0.10268102262475487,5.721381311637492,34.323556041840085
30,angelo,gym,right lower lateral forehead,2.200839393479292,0.12794019604277038,0.11043289822050065,5.653449822666636,33.55369974953718
31,angelo,gym,glabella,2.2997895586429022,0.17267218302454762,0.13786338311382174,4.786104882135084,24.4805475018046
32,angelo,gym,upper nasal dorsum,2.256801747027454,0.12048067607739435,0.10186758663964895,5.455802709678174,31.130974837221807
33,angelo,gym,lower nasal dorsum,2.2448558006455928,0.10818912985309716,0.09173280465420705,6.136402753995014,38.62416322268608
34,angelo,gym,soft triangle,2.297770315125039,0.08969891030331367,0.0727291143077642,5.763945884769091,34.935990173258396
35,angelo,gym,left ala,2.264923517846442,0.1246875322401499,0.10579379684536701,5.513628740538117,32.32635468076114
36,angelo,gym,right ala,2.318465459182084,0.11798119202040229,0.09790536338262482,6.116798286664285,38.50300815902602
37,angelo,gym,nasal tip,2.241572906799454,0.10799582176177973,0.09273777478677635,5.733239541145422,34.22009655974147
38,angelo,gym,left lower nasal sidewall,2.262588199287706,0.11819018103198176,0.0984572181229873,6.081404304180086,37.98614493657306
39,angelo,gym,right lower nasal sidewall,2.31129415802367,0.09400708900070263,0.07881415674424327,6.0476348237985285,37.43620586743263
40,angelo,gym,left mid nasal sidewall,2.319685731530168,0.09119393299171594,0.07331231639209695,6.243521906687556,39.91087363405845
41,angelo,gym,right mid nasal sidewall,2.2358054585836635,0.10725353281884703,0.09048773671786647,6.286039705572107,40.25642677186465
42,angelo,gym,philtrum,2.251082406179258,0.11481870336948419,0.09736171694128204,5.8873403599762675,35.71913917987958
43,angelo,gym,left upper lip,2.3340621550172025,0.0978758150267781,0.07962699624200265,6.060056545145315,38.119790863777254
44,angelo,gym,right upper lip,2.2706013191066168,0.11066349133658432,0.09448172496769745,5.910830747289637,36.15370152130533
45,angelo,gym,left nasolabial fold,2.27651429494485,0.11392468382736189,0.09120762898206235,6.174783043972369,39.32306190450137
46,angelo,gym,right nasolabial fold,2.2488956257116315,0.10539626621280765,0.0898827196706776,5.951770940275265,37.047683927127
47,angelo,gym,left temporal,2.284179378788979,0.13917245063235836,0.1135392515347513,5.635058951109881,33.71545325961068
48,angelo,gym,right temporal,2.301094219217852,0.10258602234310173,0.08563158509031746,6.083866356506476,38.38634497010933
49,angelo,gym,left malar,2.3613601047456587,0.14817388805132528,0.12099876162016875,5.236692049105493,29.582103750679874
50,angelo,gym,right malar,2.264357066519126,0.1639659223376828,0.14367593597228437,5.255393981776829,29.587979507256538
51,angelo,gym,left lower cheek,2.279690517531129,0.12593796346991293,0.10439038579053476,6.2035776234366455,39.90562575378931
52,angelo,gym,right lower cheek,2.3817832524521965,0.1435650327853423,0.12154454709712544,5.331327668450087,30.5416260059343
53,angelo,gym,chin,2.349102246093654,0.1642063436092294,0.13144642612363014,5.033808678319629,27.49628756461931
54,angelo,gym,left marionette fold,2.3577981077637507,0.09938649873453174,0.0783628317692787,6.356050810735354,41.43418536886156
55,angelo,gym,right marionette fold,2.341871291392117,0.1483844843627516,0.12292408201270277,5.552591041786545,32.02754930736882
56,angelo,rotation,lower medial forehead,1.978386221749714,0.2921439124507396,0.25999494757540437,2.2098474321236035,5.153372121503646
57,angelo,rotation,left lower lateral forehead,2.1518895616816547,0.2777732237298805,0.22366120077473223,2.1989791756571013,5.116781216355355
58,angelo,rotation,right lower lateral forehead,2.0083286200983204,0.18372077608229054,0.15919453074451662,2.997375013742324,11.427622345085206
59,angelo,rotation,glabella,1.9181005140567466,0.25981192136625525,0.22620227086971206,2.1910706354807092,5.091292522612222
60,angelo,rotation,upper nasal dorsum,2.102912098531401,0.27067313919797054,0.23127448054704414,2.2004211088787122,5.078650239880636
61,angelo,rotation,lower nasal dorsum,2.1714132378338613,0.27058707422604766,0.2205242096515954,2.204929572263933,5.130290135248926
62,angelo,rotation,soft triangle,2.2972774534677773,0.3567164219978703,0.2875072129691271,1.9774130744090321,4.162348314323332
63,angelo,rotation,left ala,2.2050874135532754,0.2800341374280269,0.20583766316801258,2.5840452210554234,7.40405465529503
64,angelo,rotation,right ala,2.2191475782289407,0.30557952050688136,0.24377351366647598,2.0381131719329395,4.567413743901613
65,angelo,rotation,nasal tip,2.2113322833193867,0.28301352829868326,0.22988533274178188,2.7235760790167527,9.203550873461056
66,angelo,rotation,left lower nasal sidewall,2.4551194226314403,0.15103184595771374,0.10293690593623857,4.914359102149235,26.87048802911656
67,angelo,rotation,right lower nasal sidewall,2.381872715510173,0.3048915921114643,0.22435218295680345,2.6102958643596854,7.791316781557934
68,angelo,rotation,left mid nasal sidewall,2.381278609954264,0.1285847211935011,0.08475222259320235,5.064570719936666,27.642429447534095
69,angelo,rotation,right mid nasal sidewall,2.4317233999945707,0.28927406690399937,0.21004562423725476,2.9652281335161357,11.049607996222846
70,angelo,rotation,philtrum,2.2333230917359956,0.276060394103491,0.22338972186983178,2.2328620378295976,5.223845529750057
71,angelo,rotation,left upper lip,2.348128159307039,0.280951162460959,0.20073673614089813,2.2324044849998157,5.2454618973899505
72,angelo,rotation,right upper lip,2.1692171080776226,0.295760446007168,0.2327690548260512,3.0900570075925695,11.799916985192697
73,angelo,rotation,left nasolabial fold,2.2605412873779134,0.24501355220342336,0.17601909336745147,2.3723636586896824,5.890643978109019
74,angelo,rotation,right nasolabial fold,2.2048659299334,0.3338976291093677,0.27561428835719626,2.3337513373888066,6.582619896719559
75,angelo,rotation,left temporal,2.482931122618831,0.17431804178098723,0.10322656586794732,5.051618090299998,27.498312298689363
76,angelo,rotation,right temporal,2.3215201403168764,0.2935803679122881,0.22459670005616011,2.346937890241474,5.791469504459347
77,angelo,rotation,left malar,2.114140606498182,0.367529769481907,0.3010512356801164,2.631508647774502,8.799042452240402
78,angelo,rotation,right malar,1.9663196239401552,0.3967045215540824,0.35777338103361017,2.7007429092847515,8.862134783285956
79,angelo,rotation,left lower cheek,2.266344114084673,0.3377016100484099,0.25120114902127166,2.6787248246972255,9.114204645650853
80,angelo,rotation,right lower cheek,1.9827182434538837,0.3472311172743224,0.3041354389009961,3.415993879464643,15.716137806740337
81,angelo,rotation,chin,2.231524575476104,0.34730469739238956,0.26949755247512247,2.1995282103918172,5.137770855833997
82,angelo,rotation,left marionette fold,2.2951091367046597,0.2610860486891602,0.1877286068711396,2.479298532170622,7.2386222834660074
83,angelo,rotation,right marionette fold,2.0294201237106897,0.32624913289350815,0.29625278299197183,2.5250694400800433,7.3060754931702245
84,angelo,talk,lower medial forehead,2.547765136309566,0.30338527679503796,0.24054329263311136,2.740855001832114,7.9022716550224
85,angelo,talk,left lower lateral forehead,2.352372680529694,0.30065352524191835,0.22488140262005052,2.4892010072290893,6.358782948996713
86,angelo,talk,right lower lateral forehead,2.4321991743813682,0.21610579399026403,0.1676585673251784,2.9492447205023886,11.043299782761503
87,angelo,talk,glabella,2.3503652586876687,0.2296257937176186,0.18046209097384916,2.235073337958467,5.033065658373522
88,angelo,talk,upper nasal dorsum,2.3437446693409414,0.2069488933002434,0.16849063998603733,3.991981905097058,16.792346814452316
89,angelo,talk,lower nasal dorsum,2.253100395303875,0.1888810804769297,0.15048047595266725,5.41889401872585,31.96798742164483
90,angelo,talk,soft triangle,2.5870456276453955,0.1783294997525709,0.13057808122858683,3.760656599572358,17.519836151399918
91,angelo,talk,left ala,2.506845521280492,0.11557077879800819,0.09097643776187175,4.791527206723121,25.17497246266822
92,angelo,talk,right ala,2.4482610110682987,0.08356952051423647,0.06302377640919318,5.132359854619136,26.485007223008356
93,angelo,talk,nasal tip,2.44585950090663,0.08483983072121953,0.0631100939827855,5.934122794566863,36.68454402784886
94,angelo,talk,left lower nasal sidewall,2.4635825967922567,0.0738193709176828,0.05719428932613502,6.298422892833045,42.88284745388675
95,angelo,talk,right lower nasal sidewall,2.2390732596320033,0.10061069154467296,0.08752093696247173,5.7447494833768245,35.33113604925667
96,angelo,talk,left mid nasal sidewall,2.2947611910395684,0.2384755203165814,0.18713737065423575,4.942145312214186,28.10343863751377
97,angelo,talk,right mid nasal sidewall,2.280146932482012,0.13328325472027222,0.11136068845872937,5.3869026892577,31.83101810372989
98,angelo,talk,philtrum,2.567198097372078,0.1578617735092649,0.09847889727266386,4.337397933526923,20.669855551066526
99,angelo,talk,left upper lip,2.43506943832751,0.11507289026317985,0.08151782203979674,4.8901461515108355,27.635201965240164
