,attendant,motion,ROI,DTW,PCC,CCC,RMSE,MAE
0,angelo,resting,lower medial forehead,1.8213059177874045,0.3363417412424952,0.2758756893986827,1.8064656675062785,3.4297461179304998
1,angelo,resting,left lower lateral forehead,1.980061656043592,0.25949276450727216,0.20506964723519835,1.7482977930317072,3.2574644913950688
2,angelo,resting,right lower lateral forehead,1.9184399943908905,0.3645991892360193,0.2991848280261418,1.6882195221183582,3.095873658515771
3,angelo,resting,glabella,1.8720594160996875,0.2942289611106887,0.24209802521691234,1.752491576572739,3.256801646724775
4,angelo,resting,upper nasal dorsum,1.9606881009083292,0.24485040998533153,0.1954922172817948,1.8336080435960576,3.535729424592745
5,angelo,resting,lower nasal dorsum,2.11300437318237,0.22514595169887588,0.17212349374738894,1.8887050830690792,3.908139272026594
6,angelo,resting,soft triangle,1.9326152851464051,0.30481566867662196,0.2563924292956658,1.7710895849196129,3.332935000117247
7,angelo,resting,left ala,2.013915953013459,0.1900127378408758,0.1664123071140697,3.6436654421387287,14.846946896770477
8,angelo,resting,right ala,2.1805897421171587,0.2609609335848005,0.20714946148603802,2.23461285332921,5.636812101079231
9,angelo,resting,nasal tip,2.004689417040392,0.2060735900297171,0.15819205564363817,1.708622575876299,3.1458137838993783
10,angelo,resting,left lower nasal sidewall,2.15092041666698,0.1409808978668084,0.11424449316291159,7.717754015693034,61.64494413318948
11,angelo,resting,right lower nasal sidewall,2.0944109486061686,0.2437404494101222,0.20772659970405777,2.341444556206034,6.428435438099188
12,angelo,resting,left mid nasal sidewall,2.324300148680993,0.1856242043230021,0.1318417559339808,6.362832085804449,46.298279580675576
13,angelo,resting,right mid nasal sidewall,2.1382345642832292,0.21861325752996202,0.16491160179022918,2.504610755947991,8.734167791667206
14,angelo,resting,philtrum,2.030560656649049,0.15258944851947667,0.124733467530093,3.3030850452373017,12.67080526207381
15,angelo,resting,left upper lip,2.30466844810768,0.15895555541507042,0.12185561838766727,4.568191390941465,23.047595640605127
16,angelo,resting,right upper lip,2.083354651556405,0.15991930920795466,0.13250872635504427,2.2226627036516757,5.202570190444045
17,angelo,resting,left nasolabial fold,2.471173517874508,0.15630178443455195,0.10636690007368378,2.7644930744898404,10.01427138315388
18,angelo,resting,right nasolabial fold,2.0837320951275897,0.29094286365897615,0.2394283785454086,2.113105826423793,5.1804593142225155
19,angelo,resting,left temporal,2.220289400067967,0.1289233013610155,0.1024176104344755,5.248915900293186,30.77798327308841
20,angelo,resting,right temporal,1.954910891519902,0.2485381509586721,0.20943151942530092,1.9975430413079298,4.597818480407558
21,angelo,resting,left malar,1.9775710463806913,0.275892995554,0.22139973887502393,1.7611682685903924,3.287741430037881
22,angelo,resting,right malar,1.7830880484825005,0.31970629499713016,0.2688403614810531,1.752946944236571,3.2868705071546844
23,angelo,resting,left lower cheek,2.138914980727056,0.19479360676321214,0.15698502434264014,1.823792424573695,3.4847123875672983
24,angelo,resting,right lower cheek,1.9114483942291733,0.3019773130260318,0.24717523487284193,1.699904275511612,3.1065103708558306
25,angelo,resting,chin,1.8893944412390724,0.29984066833078693,0.23125730939095177,1.7347507662608714,3.2116661376190203
26,angelo,resting,left marionette fold,2.507238271584583,0.21827892510558997,0.14839863360416267,2.3094785530951643,6.452994523744535
27,angelo,resting,right marionette fold,1.8682226582246522,0.22594496364038655,0.19909791478691938,1.7521815377588639,3.371867713477209
28,angelo,gym,lower medial forehead,2.375440705694757,0.12609613803566935,0.10306828016772138,5.051528950518119,27.260310663396442
29,angelo,gym,left lower lateral forehead,2.4211657582993293,0.12228713321305387,0.09932963750728704,5.847146727019121,35.88005943447979
30,angelo,gym,right lower lateral forehead,2.278500456265076,0.12618793911669604,0.1068130376133127,5.91524864452337,36.56037226526581
31,angelo,gym,glabella,2.3530088370587805,0.17329572865096995,0.1454908773406585,4.877872495585845,25.35943806481145
32,angelo,gym,upper nasal dorsum,2.3046625596304553,0.11236083823909956,0.09264198532968738,5.4509454010495775,31.260168890028552
33,angelo,gym,lower nasal dorsum,2.3617139235353433,0.10432655904192625,0.08472020314141361,6.098583631868962,38.007773091754125
34,angelo,gym,soft triangle,2.315152153991228,0.09110623975870565,0.07323547880757898,5.9061310633447865,36.6360847669539
35,angelo,gym,left ala,2.2601729005998963,0.11625475143072769,0.09410037183350349,5.519030528861105,32.2000523061452
36,angelo,gym,right ala,2.3291250349451897,0.10342134008950724,0.08478492267983521,6.106038262579166,38.66700474804793
37,angelo,gym,nasal tip,2.319496414794277,0.09644677479765201,0.07898155267231018,5.712107846813514,33.546319741231144
38,angelo,gym,left lower nasal sidewall,2.3299765673379658,0.10629046970680761,0.08666161298242192,6.085393123017099,37.89622907471814
39,angelo,gym,right lower nasal sidewall,2.4278119208347535,0.11173236715398319,0.09229809695941305,6.055605305626277,37.905854854530766
40,angelo,gym,left mid nasal sidewall,2.346933385294811,0.09818858465198756,0.07901454543609705,6.0234059173113375,37.861210685265995
41,angelo,gym,right mid nasal sidewall,2.497340453485252,0.10703632746925276,0.07760965365057118,6.406998168918934,41.994100325811615
42,angelo,gym,philtrum,2.35463994736329,0.11006547245503542,0.08868590863209552,6.020577313218213,37.21173826986026
43,angelo,gym,left upper lip,2.367720698385957,0.09670838804433977,0.07478601355439825,6.076717035732668,38.5317523900984
44,angelo,gym,right upper lip,2.335403018974898,0.10695117424443394,0.08600537960110206,5.9361454450016895,36.28155030077289
45,angelo,gym,left nasolabial fold,2.358021977924977,0.10802524833969443,0.089086846258801,6.330398395020658,41.07024741497922
