,attendant,condition,ROI,DTW,PCC,CCC,RMSE,MAE
28,2.0,1.0,lower medial forehead,2.0277561681030982,0.5721083816065096,0.5162991989363795,1.7043532147118556,3.2667978457273477
29,2.0,1.0,left lower lateral forehead,2.1230354180093145,0.5608184402283306,0.5118379742502179,1.7175535077295194,3.321802747167563
30,2.0,1.0,right lower lateral forehead,1.9921667012412225,0.5764282414260073,0.5381723074868257,1.7412933404059716,3.4323801583129465
31,2.0,1.0,glabella,1.7934387619071952,0.5559160486748045,0.5272913774681416,1.7009504786233018,3.2630270646868724
32,2.0,1.0,upper nasal dorsum,2.0446295746877996,0.5578857520122201,0.5098466539322305,1.7438312521527017,3.439313990533481
33,2.0,1.0,lower nasal dorsum,2.08952233490705,0.4806688935147113,0.41650347526756865,1.7907647749691287,3.587538752973465
34,2.0,1.0,soft triangle,1.9317159529214256,0.5334017935002165,0.49516968381579735,1.7383173372333922,3.3557857879068624
35,2.0,1.0,left ala,2.011689272291948,0.5006663124284549,0.4437175913161335,1.7713134642250894,3.503175578317465
36,2.0,1.0,right ala,1.982011639630804,0.5144580873724991,0.4666352402626012,1.7359864251939574,3.2892305383019846
37,2.0,1.0,nasal tip,2.0976642663750056,0.5250839696460303,0.46917491399996863,1.7410427777446742,3.415290579173326
38,2.0,1.0,left lower nasal sidewall,2.1506113718818067,0.49049946542191497,0.4297078176510592,1.8453233237027153,3.776260549892149
39,2.0,1.0,right lower nasal sidewall,1.9830905437784232,0.5288707074634948,0.4915872037856735,1.7585685636384176,3.4390652489299587
40,2.0,1.0,left mid nasal sidewall,2.073676057194252,0.4523430857698346,0.3896423859683685,1.8200571257778784,3.6504708750701
41,2.0,1.0,right mid nasal sidewall,1.9452308152564541,0.5237123121206626,0.4762026056333453,1.7556662746141805,3.417528364492716
42,2.0,1.0,philtrum,2.0252201057657206,0.46577828158575174,0.41608681289523597,1.7886637455055006,3.5978457685804623
43,2.0,1.0,left upper lip,2.3497629002394365,0.35924070086659743,0.2888908891847807,2.295889918289682,5.933046427668771
44,2.0,1.0,right upper lip,2.114777888526957,0.3976622544465306,0.34478211535696596,2.2264660130933516,6.772898608876705
45,2.0,1.0,left nasolabial fold,2.009919011480269,0.501051412663504,0.4449180537053918,1.804358954233044,3.5897839319078653
46,2.0,1.0,right nasolabial fold,1.9767468857692372,0.5095204468488349,0.4726320235782097,1.7443443877264455,3.4121148760724225
47,2.0,1.0,left temporal,2.1128915149260523,0.5095838507482084,0.46764543446187407,1.7629130204104815,3.5829830099462927
48,2.0,1.0,right temporal,2.024005475422205,0.5586772493506938,0.511380562138468,1.7353758152215066,3.392813958750879
49,2.0,1.0,left malar,1.8438626208338702,0.5489313361140153,0.519715666559534,1.739860460271607,3.460545765737814
50,2.0,1.0,right malar,1.8828912959758672,0.5641193535751131,0.5318532270829878,1.6971400253583089,3.2392479166525607
51,2.0,1.0,left lower cheek,2.0217120585654316,0.5524490505396228,0.4972589222591146,1.768942803636497,3.555324414382428
52,2.0,1.0,right lower cheek,1.8279501705643864,0.5619532703663566,0.537611220987495,1.7280381330040742,3.3293088902195946
53,2.0,1.0,chin,1.8941432447975657,0.5209727466186719,0.48746245628586005,1.7788087300782138,3.747301668604504
54,2.0,1.0,left marionette fold,1.9364459167370147,0.5132369907213712,0.46558173202317626,1.824805583115896,3.8238606725508943
55,2.0,1.0,right marionette fold,2.017112930330579,0.5428402760376067,0.4899959230274466,1.7212490998246635,3.2753839780574263
56,3.0,1.0,lower medial forehead,1.8559082845512231,0.4865954899793773,0.44943430370412163,1.7798312524557323,3.715585940802461
57,3.0,1.0,left lower lateral forehead,2.0687771178597876,0.4377285950267417,0.39667513343471267,1.9629451152715365,4.489441625913955
58,3.0,1.0,right lower lateral forehead,1.9606795956786736,0.4463900387473423,0.40320898478633443,1.7295061336097455,3.399954989640255
59,3.0,1.0,glabella,1.786200987474017,0.5205477408894382,0.4879995759144568,1.6263308992483128,2.9201038989456984
60,3.0,1.0,upper nasal dorsum,1.9942364312076621,0.45368012101465377,0.40894930825658155,1.827391066584556,3.7178786728896944
61,3.0,1.0,lower nasal dorsum,2.203265839090264,0.23661873967971694,0.20325583176257284,3.631189517715535,14.976905009273366
62,3.0,1.0,soft triangle,2.357577182526811,0.4024825041286798,0.3357937202308296,1.9764618917909063,4.297099605134108
63,3.0,1.0,left ala,2.3935783455788138,0.3451521234929067,0.2965747747103496,3.2185951960691437,11.32853967695411
64,3.0,1.0,right ala,2.5197848899154374,0.3490770568390052,0.2818645067998989,2.772045824082903,8.875034623795463
65,3.0,1.0,nasal tip,2.2952336805900435,0.19843133486221148,0.16616547354654165,3.698319242036007,15.813319059728462
66,3.0,1.0,left lower nasal sidewall,2.6159223301341843,0.21188134488038665,0.15107431600672913,3.988594341449877,17.064913528261666
67,3.0,1.0,right lower nasal sidewall,2.279612248688658,0.2854029640694981,0.23356042001110397,3.034985648560911,11.502217531829807
68,3.0,1.0,left mid nasal sidewall,2.4621837413719097,0.2723058760427226,0.20956905035682602,4.146010782439364,19.944928359690312
69,3.0,1.0,right mid nasal sidewall,2.5710487508044997,0.2817064572210759,0.2103215156193979,3.7669138638071953,16.639350381417984
70,3.0,1.0,philtrum,2.5198760459305674,0.26580367236062624,0.21728853788551322,3.863154473460508,16.166220688806867
71,3.0,1.0,left upper lip,2.835268568763482,0.15204469959760308,0.11053063115149876,4.574925146085755,21.923298036588488
72,3.0,1.0,right upper lip,2.629779622531843,0.237372296958769,0.18816604827670314,4.154927165780509,18.0865807386985
73,3.0,1.0,left nasolabial fold,2.3631385271020573,0.41246017506390964,0.3476096580586479,2.386468381510185,7.064806919500707
74,3.0,1.0,right nasolabial fold,2.1361430408850475,0.37886434630970406,0.33396917114380603,2.668087903670776,8.733866011486572
75,3.0,1.0,left temporal,2.648950450729623,0.19329864406096578,0.13924597251845958,3.736130065844687,16.443112285153006
76,3.0,1.0,right temporal,2.5731096145966856,0.08293036370101017,0.0631133402948634,5.628487724524199,33.462008517971924
77,3.0,1.0,left malar,2.2130202802006425,0.4550080978273592,0.3781483355850376,1.7725559490774272,3.4770375219681635
78,3.0,1.0,right malar,2.1407320762993347,0.47482595627694085,0.41604849159436436,1.7677510199881818,3.442071094966508
79,3.0,1.0,left lower cheek,2.4061271418854293,0.3839152659890976,0.32934315045735374,2.7148439705195657,9.37271144807815
