,attendant,condition,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,1.0,lower medial forehead,2.161587397236071,0.13356643347988004,0.11323281719322235,3.648863959043475,14.165995489883795
1,1.0,1.0,left lower lateral forehead,2.1105837312786795,0.14506171956069208,0.12244647520808911,3.642450036573386,14.089995788233042
2,1.0,1.0,right lower lateral forehead,2.1144648290511903,0.12881850560476885,0.10864568151807961,3.6153069364058283,13.86905182811829
3,1.0,1.0,glabella,2.118836543062715,0.1274725739653478,0.1097785208246701,3.655480929614724,14.150684431295277
4,1.0,1.0,upper nasal dorsum,2.1570679481353507,0.11849499187036393,0.10232380470541477,3.681897626808405,14.414281333119085
5,1.0,1.0,lower nasal dorsum,2.118868834251089,0.11728138325073172,0.10631033651191682,3.621090551852516,13.911402453910696
6,1.0,1.0,soft triangle,2.155564615750708,0.0982408241770419,0.08538715036807147,3.646989036896971,14.109897740740486
7,1.0,1.0,left ala,2.2028899081234745,0.10365289398815107,0.09231802613327333,3.6686702432614977,14.266339415996276
8,1.0,1.0,right ala,2.129319973492713,0.12057851577779143,0.10376215857968236,3.5625257610836387,13.487497719288385
9,1.0,1.0,nasal tip,2.2258895510082115,0.10065257278104803,0.08720194590183655,3.640903692913894,14.045874103120656
10,1.0,1.0,left lower nasal sidewall,2.1954858939741406,0.11778583441882907,0.09963070009448201,3.66692648112431,14.265341968983968
11,1.0,1.0,right lower nasal sidewall,2.1333291031697654,0.10293421350824511,0.08985740709852914,3.670695963897307,14.25311742834277
12,1.0,1.0,left mid nasal sidewall,2.1543222479418302,0.12312170515718812,0.10645163728729311,3.6453249050323566,14.102002797552563
13,1.0,1.0,right mid nasal sidewall,2.2807840573495946,0.1018773766411409,0.08509303004135452,3.6391152897644417,13.973668049346657
14,1.0,1.0,philtrum,2.2790921563332334,0.14314572413521298,0.1291521783532088,3.608514108067754,13.706249788290267
15,1.0,1.0,left upper lip,2.3747628017090654,0.10529335395700234,0.08904619934648818,3.751732954601958,14.598161135481982
16,1.0,1.0,right upper lip,2.267770528712853,0.11861766571290562,0.10186990813020606,3.7701428762086837,15.070682244238927
17,1.0,1.0,left nasolabial fold,2.177215039446172,0.12096802083687813,0.1026315617005985,3.654649176299682,14.178571205486799
18,1.0,1.0,right nasolabial fold,2.159032909228307,0.11867669850509095,0.10414308943653776,3.6723849108325965,14.265834470074402
19,1.0,1.0,left temporal,2.1727016484443773,0.13086001269716582,0.11274851924261521,3.6588158187821405,14.230702645218098
20,1.0,1.0,right temporal,2.5817522246398332,0.13164005552235855,0.1099934573889811,4.5081786275149,21.71934126373629
21,1.0,1.0,left malar,2.0685534745015377,0.12286976316368235,0.10845875911757694,3.640812879632964,14.056648380367198
22,1.0,1.0,right malar,2.212263168008984,0.11201537184931487,0.09368239822178884,3.5950615220677693,13.707544930382198
23,1.0,1.0,left lower cheek,2.188993263516789,0.1255086580511551,0.10965583291928233,3.615820114641894,13.925018399209142
24,1.0,1.0,right lower cheek,2.431869215776375,0.10999860028062211,0.09162279676528874,3.6398737681452675,13.94713621677167
25,1.0,1.0,chin,2.1584152896719515,0.12467284184005377,0.11016680655589556,3.6875494190373614,14.421298595147947
26,1.0,1.0,left marionette fold,2.23373238958944,0.1299232111945487,0.11314450140287101,3.6969494498713873,14.478373868352023
27,1.0,1.0,right marionette fold,2.309333015706757,0.10498437956207439,0.08616504175309174,3.7003961053230205,14.4915937143083
28,2.0,1.0,lower medial forehead,1.6254841382301601,0.5883553614567215,0.4466669476718344,1.7092810121594482,3.2940721093650125
29,2.0,1.0,left lower lateral forehead,1.6920998224836683,0.5898182147772953,0.44327420591420486,1.710943785688658,3.2861469776912626
30,2.0,1.0,right lower lateral forehead,1.6400711139355801,0.5973173470637855,0.4418793512425334,1.7338876672885946,3.3691511456479937
31,2.0,1.0,glabella,1.593463544779394,0.5674780274174537,0.42578023871192666,1.6988116771867134,3.2553634514936305
32,2.0,1.0,upper nasal dorsum,1.6400119136585656,0.5713035142568833,0.4240078519381085,1.7254531772192736,3.345338010648464
33,2.0,1.0,lower nasal dorsum,1.6894192502793763,0.5321863243445975,0.42423684274273316,1.7285009441448447,3.352053353338769
34,2.0,1.0,soft triangle,1.7971714583753091,0.5598014257436192,0.41692912654888586,1.7228914805099704,3.330839076772552
35,2.0,1.0,left ala,1.8146220312670582,0.5083729973424657,0.3927301706096477,1.763285620773293,3.4578091101219286
36,2.0,1.0,right ala,1.8659941234068576,0.5315496660221966,0.39777680368418866,1.8641888690821602,3.8451526595122996
37,2.0,1.0,nasal tip,1.7648082678382813,0.5612931220650117,0.4283758505550746,1.719373134579466,3.336945966484166
38,2.0,1.0,left lower nasal sidewall,1.8513226156149067,0.5149156821109283,0.3962172313978695,1.797630047168272,3.5154578296036125
39,2.0,1.0,right lower nasal sidewall,1.8008751538066958,0.5534038401085232,0.420719089502986,1.7311870309334814,3.35240928911782
40,2.0,1.0,left mid nasal sidewall,1.8148109443219027,0.48397351788516163,0.3869313093800943,1.7795527121712984,3.47340728739331
41,2.0,1.0,right mid nasal sidewall,1.7253924864478558,0.5454659738510477,0.4251091870313119,1.7456521698915932,3.3821785491436054
42,2.0,1.0,philtrum,1.7033918714509135,0.4780007827025312,0.37343096538400333,1.813137447452005,3.793911082116126
43,2.0,1.0,left upper lip,2.166330156007374,0.3614990765509657,0.2773359341946846,2.1991996644801737,5.435872114834228
44,2.0,1.0,right upper lip,1.993998422011198,0.40832864778045097,0.31070985523074696,1.9906463227091387,4.499250090809444
