,attendant,condition,ROI,DTW,PCC,CCC,RMSE,MAE
73,3.0,1.0,left nasolabial fold,2.872511582684788,0.344720226547463,0.23594835094314914,2.018703600381818,4.744914746194515
74,3.0,1.0,right nasolabial fold,2.884052617955026,0.3592576453934689,0.252970799816255,2.3729753098550486,7.268417445154024
75,3.0,1.0,left temporal,2.5336704401990016,0.20454728347598822,0.1536368352884808,2.7065682201020738,9.25735544472012
76,3.0,1.0,right temporal,2.646678127685446,0.08856879797349886,0.0626459766431687,5.950742964765116,37.018708662254305
77,3.0,1.0,left malar,2.873395769639557,0.377023445220318,0.2792286047231058,1.9592342638119875,4.423755151539488
78,3.0,1.0,right malar,2.77689937636699,0.4026964545044539,0.28858755752811033,1.7176338398943751,3.2598345609227737
79,3.0,1.0,left lower cheek,2.9547217833341044,0.3675050826146413,0.228926225685502,1.9622949950309578,4.503447159492488
80,3.0,1.0,right lower cheek,2.737716221253551,0.3842286679205611,0.26919931575531475,1.7176885577916805,3.1998632831260747
81,3.0,1.0,chin,3.0900541225149967,0.41934084582130954,0.2766245998314842,2.2001654117029146,5.873198632841525
82,3.0,1.0,left marionette fold,2.8101939601095483,0.4638190958117695,0.3114347187812361,1.6488833362345432,2.985396504356249
83,3.0,1.0,right marionette fold,2.8499169082463385,0.4152043266928576,0.2873488531883924,1.682220090636827,3.0771599827746217
84,4.0,1.0,lower medial forehead,2.295075079263933,0.2533642229687103,0.18851684021509954,3.4765528826491434,13.399797747757317
85,4.0,1.0,left lower lateral forehead,2.110648176938472,0.2666930461504362,0.21102254094324524,3.4353598926043567,13.132518733541655
86,4.0,1.0,right lower lateral forehead,2.015986465053156,0.2498718053428668,0.20728658282846263,3.4790506731099295,13.232175728762316
87,4.0,1.0,glabella,2.238661117474513,0.26255094907617166,0.19287161278393414,3.5846256803215053,14.183471637154732
88,4.0,1.0,upper nasal dorsum,2.0577097567013687,0.22455377264539753,0.18658917624291513,3.607959458514474,14.840530640704712
89,4.0,1.0,lower nasal dorsum,2.064533592773398,0.183299659424754,0.15977898932872903,3.6284781001251285,14.252032556797111
90,4.0,1.0,soft triangle,2.1966237031229343,0.20106524040316773,0.1574075348685792,3.511507136272547,13.936017333964244
91,4.0,1.0,left ala,2.232382603538455,0.15006180419150125,0.11865845689498208,4.241540376736108,19.172587871594718
92,4.0,1.0,right ala,2.262637671636985,0.14881340198157708,0.11214523632968185,3.786728148302534,15.495369649832316
93,4.0,1.0,nasal tip,1.9787117236586853,0.1928973077581834,0.16971594882213736,3.5134727527220533,13.717386816904911
94,4.0,1.0,left lower nasal sidewall,2.2288654230575027,0.12233737658856902,0.09291069627010855,3.8895225122911428,16.28941740712024
95,4.0,1.0,right lower nasal sidewall,2.3138879972187074,0.16246025635713557,0.1260189107514237,3.7972877230001374,15.42426970232484
96,4.0,1.0,left mid nasal sidewall,2.1879649669828614,0.16548472984155568,0.12431216454193782,4.368244249736027,21.142695862956238
97,4.0,1.0,right mid nasal sidewall,2.2433846305952643,0.16429798914686217,0.11805685270439317,4.434179584951503,21.98313439499216
98,4.0,1.0,philtrum,2.2504875718088093,0.20015252416096635,0.14109743037263484,3.7054798468153516,14.642337090009843
